,UNIVERSIDAD,CARRERA,TITULO,RESUMEN,AUTOR(ES),AÑO,PDF
0,ucv,psicología,"Liderazgo directivo y satisfacción laboral en docentes de secundaria del distrito de Ica, departamento de Ica 2020","Se tuvo como propósito determinar la relación entre el liderazgo directivo y la satisfacción laboral en docentes de secundaria del distrito de Ica, departamento de Ica, 2020, con diseño descriptivo correlacional, se ...","Aparcana Ormeño, Jimmy Alberto; Rojas Lujan, Abigail Rosmery",2021,https://repositorio.ucv.edu.pe/bitstream/handle/20.500.12692/86102/Aparcana_OJA-Rojas_LAR-SD.pdf
1,ucv,psicología,"Síndrome de Burnout y estrategias de afrontamiento en personal de seguridad de una empresa privada de Ica, 2021","La investigación estuvo centrada en el personal de seguridad que trabaja brindando servicio de vigilancia en los hospitales de Essalud de la provincia de Ica y tienen contacto directo con los asegurados, que muchas veces ...","De La Cruz Córdova, Paola Anyela; Muñoz García De Ramos, Lady del Rosario",2021,https://repositorio.ucv.edu.pe/bitstream/handle/20.500.12692/86111/De%20La%20Cruz_CPA-Mu%c3%b1oz_GDRLDR-SD.pdf
2,ucv,psicología,Inteligencia emocional y agresividad en niños: una revisión sistemática,"La investigación de tipo teórica y diseño de revisión sistemática, tuvo como objetivo analizar los hallazgos de los estudios que señalan las relaciones entre la inteligencia emocional y la agresividad en niños. Los ...","Jimeno Coronel, Bárbara Natali",2021,https://repositorio.ucv.edu.pe/bitstream/handle/20.500.12692/86082/Jimeno_CBN-SD.pdf
3,ucv,psicología,"Propiedades psicométricas del cuestionario de dependencia emocional en adolescentes de la provincia de Barranca, 2020","El presente estudio tuvo un diseño instrumental teniendo como propósito analizar las propiedades psicométricas de la escala de Dependencia emocional de (Londoño, 2006) en adolescentes de una institución educativa de la ...","Acuña Pérez, Luis Rubén",2021,https://repositorio.ucv.edu.pe/bitstream/handle/20.500.12692/86094/Acu%c3%b1a_PLR-SD.pdf
4,ucv,psicología,Validez y confiabilidad del cuestionario de actitudes hacia la política en jóvenes y adultos en Trujillo 2021,"La reciente investigación, tuvo el objetivo de realizar la validez y confiabilidad del instrumento denominado Cuestionario de Actitudes hacia la Política, en la provincia de Trujillo. Tuvo como muestra un total de 306 ...","Haro Díaz, Erick Sandro; Valverde Bravo, Aron Antony",2021,https://repositorio.ucv.edu.pe/bitstream/handle/20.500.12692/86938/Haro_DES-Valverde_BAA-SD.pdf
5,ucv,psicología,Funcionamiento familiar y comportamiento agresivo en estudiantes de secundaria de una institución educativa nacional de Tarapoto 2021,La investigación tuvo como objetivo general determinar la relación entre el funcionamiento familiar y el comportamiento agresivo en los estudiantes de nivel secundario de la Institución Educativa Nacional de Tarapoto ...,"Pinedo Mendoza, Diana Stefany",2021,https://repositorio.ucv.edu.pe/bitstream/handle/20.500.12692/86882/Pinedo_MDS-SD.pdf
6,ucv,psicología,Programa motivacional para mejorar el clima laboral de los colaboradores del Hotel y Casino WinMeier de Chiclayo,"La investigación tuvo como objetivo demostrar que el programa motivacional mejora el clima laboral de los colaboradores del Hotel y Casino WinMeier de Chiclayo, el diseño fue pre experimental con pre y post test a un ...","Hoyos López, Gianina Mildred",2020,https://repositorio.ucv.edu.pe/bitstream/handle/20.500.12692/86981/Hoyos_LGM-SD.pdf
7,ucv,psicología,"Análisis psicométrico de la escala de estrés en jóvenes universitarios de la ciudad de Piura, 2021","El presente estudio tuvo como objetivo principal determinar evidencias psicométricas de la Escala de Estrés Percibido – 10 en estudiantes universitarios de la ciudad de Piura, 2021. El diseño de la presente investigación ...","Cármenes Sernaqué, Evelyn Mireya; Delgado Ipanaqué, Diana Elena",2021,https://repositorio.ucv.edu.pe/bitstream/handle/20.500.12692/86846/C%c3%a1rmenes_SEM-Delgado_IDE-SD.pdf
8,ucv,psicología,"Adaptación del Body Shape Questionnaire BSQ en adultos de Lima Metropolitana, 2021","La presente investigación tuvo como objetivo determinar las propiedades psicométricas del Body Shape Questionnaire en adultos de Lima Metropolitana, 2021. El diseño de estudio es no experimental, tipo aplicada, con ...","Martínez Castañeda, Jennifer Lisbeth; Quispe Plaza, Jacqueline Iraida",2021,https://repositorio.ucv.edu.pe/bitstream/handle/20.500.12692/87029/Mart%c3%adnez_CJL-Quispe_LJI-SD.pdf
9,ucv,psicología,Factores explicativos de la violencia familiar en hogares disfuncionales. Una revisión sistemática,Esta investigación se realizó con el objetivo de determinar los factores explicativos a la violencia familiar en hogares disfuncionales entre los años 2011 y 2021. Se realizó una búsqueda obteniendo un total de 165 ...,"Chanco Arias, Migeeli Somer",2021,https://repositorio.ucv.edu.pe/bitstream/handle/20.500.12692/86716/Chanco_AMS-SD.pdf
